# 小说用户词典（混合分析管道 M2 / 确定性预处理层）
# 格式：词 词频 词性
#   nr  -> 强制标记为人名（提升生造人名如「林尘」召回）
#   nz  -> 强制标记为非人名专有词（抑制 jieba 把修仙术语误标为 nr）
# 说明：本文件按具体小说维护；当前基于《仙侠.txt》节选整理，
#       生产环境可据真实长篇扩充，或接入 V14 的词典管理表后由用户在线维护。

# ── 真名（强化为 nr） ──
林尘 100 nr
王虎 100 nr
赵铮 100 nr
师姐 100 nr
师兄 100 nr
安静 100 nr

# ── 高频误标词（强制降噪为 nz） ──
丹田 100 nz
玉简 100 nz
那玉简 100 nz
金丹 100 nz
石阶 100 nz
灵光 100 nz
灵气 100 nz
藏书阁 100 nz
修仙 100 nz
金光 100 nz
阳光 100 nz
苏醒 100 nz
刁钻 100 nz
古老 100 nz
满怀 100 nz
段时间 100 nz
小比 100 nz
法宝 100 nz
秘籍 100 nz
功法 100 nz
境界 100 nz
宗门 100 nz
